Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
alles_ausser_deutsch_desc;Sigmaringen and Augsburg-The two missing pieces to our united Swabian realm. No more, we call! We shall unite with those two states and finally proclaim a united Swabia!;;;;;;;;;;;;;
unite_poland_lithuania_title;Unite Poland and Lithuania;;;;;;;;;;;;;
unite_poland_lithuania_desc;In the late Medieval period, the union of Lublin was rejected between Poland and Lithuania due to meddling of the nobles. This was the greatest geopolitical failure in our history. Only uniting our two weak states is the solution to stopping the Russian and German tide. Glory to Poland-Lithuania!;;;;;;;;;;;;;
unite_poland_hungary_title;Unite Poland and Hungary;;;;;;;;;;;;;
unite_poland_hungary_desc;Poland and Hungary has been historically cordial to each other-but we have never tried to unite our states. But the geopolitcal reality is that we cannot stand parted-it is time to unite our two states and finally proclaim Poland-Hungary!;;;;;;;;;;;;;
become_greece_title;From City to State;;;;;;;;;;;;;
become_greece_desc;Finally, we have conqueared much of Attica and can proclaim ourselves to be a proper state! Glory to us!;;;;;;;;;;;;;
german_zoll_verein_title;Der Deutsche Zoll Verein;;;;;;;;;;;;;
german_zoll_verein_desc;Ideas regarding the Zollverein-a custom union spanning the entirety of Germany-has existed for centuries. However, realpolitik and petty rivalries have stopped its development until now. Now that we have asserted ourselves as one of the formal leaders of Germany, we should take steps to finally implement it.;;;;;;;;;;;;;
german_zoll_verein_UBD_title; Deutscher Zoll Verien;;;;;;;;;;;;;
german_zoll_verein_UBD_desc;Whilest we were never part of the Holy Roman Empire, we cannot risk the isolation from us being outside of it. We shall formally ask the union states for entry.;;;;;;;;;;;;;
unite_the_copts_title;Unite the Copts;;;;;;;;;;;;;
unite_the_copts_desc;Whilst the idea of an union of Coptic states has existed for centuries, realpolitik and petty rivalries have stopped its development until now. Now that we have asserted ourselves as the spiritual leader of the Coptic faith, we should take steps to finally implement it.;;;;;;;;;;;;;
the_murano_purchase_title;The Murano purchase;;;;;;;;;;;;;
the_murano_purchase_desc;The port of Murano, whilst being a minor port for Venice, would be significantly strategic for our landlocked nation. We shall formally ask Venice for the purchase of it.;;;;;;;;;;;;;
nord_africa_title;The Nord Afrika Kompanie;;;;;;;;;;;;;
nord_africa_desc;Now that a formal port has been acquired a port, we should build a formal colonial company for administartion of it.;;;;;;;;;;;;;
danish_pomerania_title;A Danish Pomerania;;;;;;;;;;;;;
danish_pomerania_desc;Pomerania has been historically and culturally close to us. We should protect it from further Northern German aggression.;;;;;;;;;;;;;
swedish_pomerania_title;A Swedish Pomerania;;;;;;;;;;;;;
swedish_pomerania_desc;Pomerania has been historically and culturally close to us. We should protect it from further Northern German aggression.;;;;;;;;;;;;;
support_saar_industrialism_title;The Saar Boom;;;;;;;;;;;;;
support_saar_industrialism_desc;Saarland-a land rich in Coal and Iron, and booming with commerce with its tributaries to the Rhine. It will be a great site for our nation's industrial development.;;;;;;;;;;;;;
claim_tirol_title;The Land East;;;;;;;;;;;;;
claim_tirol_desc;Switzerland historically has been wary of expansion. However, the lands of Tirol could be an exeption to that mantra-having close cultural ties and a government structure based on Cantons just like Switzerland, it would be an ideal site for integreation and expansion.;;;;;;;;;;;;;
claim_anhalt_title;Our former Lands;;;;;;;;;;;;;
claim_anhalt_desc;Anhalt and its surrounding regions were historically connected to us Saxons, but were eventually lost to history. Reclamation of these lost territories is the only answer to how to fix this historical misjustice. ;;;;;;;;;;;;;
claim_lower_saxony;Our Coast;;;;;;;;;;;;;
claim_lower_saxony;The Sudetes and its surrounding regions were historically connected to us Saxons, but were eventually lost to history. Reclamation of these lost territories is the only answer to how to fix this historical misjustice. ;;;;;;;;;;;;;
claim_switzerland_bav_title;The Nation of the Alps;;;;;;;;;;;;;
claim_switzerland_bav_desc;We are a nation of the Alps, and we should unite all Swabians under our flag. We should expand along the mountains, in order to secure greater lands and population.;;;;;;;;;;;;;
claim_griko_lands_title;Claim Eastern Magna Graecia;;;;;;;;;;;;;
claim_griko_lands_desc;Named Magna Graecia, since Ancient times the Calabrian region has been heavily influenced by the Greeks. Even when the city states of Magna Graecia fell, the Hellenic influence has lingered until the modern age in Calabria just like us. Thus, we two provinces should be under one ruler-a true son of the Hellenic world!;;;;;;;;;;;;;
claim_former_genoese_land_title;Genoese Lands;;;;;;;;;;;;;
claim_former_genoese_land_desc;Genoa has been devastated. Our victory is absolute and we are poised to impose our will upon them. And we shall choose to take the maximum amount of land that we can.;;;;;;;;;;;;;
claim_tunis_title;The Coast of Tunis;;;;;;;;;;;;;
claim_tunis_desc;We need new land for our people, and the Tunisian coast seems like the best option. occupied by the Maghreb tribes, the fertile lands are being underutilized and are unproductive. Transplanting our landless people to those regions would do wonders to both our and the local economy.;;;;;;;;;;;;;
claim_border_title;The Hungarian Border;;;;;;;;;;;;;
claim_border_desc;Burgenland has always been a sore issue for our Austrian subjects. Lost to Matthias Corvinus, the German people still languish under Magyar rule. Recovering Burgenland would be a propaganda coup, and we will gain support from Austrian subjects like never before. We shall march to Sopron!;;;;;;;;;;;;;
claim_maghreb_coast_title;The Maghreb Coast;;;;;;;;;;;;;
claim_maghreb_coast_desc;Further expansion must be conducted into the inner Maghreb if we seek to consolidate our holdings.;;;;;;;;;;;;;
proclaim_allemania_title;Proclaim Allemania;;;;;;;;;;;;;
proclaim_allemania_desc;Swiss, Badenese, and Lorrainian. Three brother cultures, coming from the same routes. We must not continue to be split, and we will be much more stronger if we are together. We must unite under a single flag-the flag of Allemania!;;;;;;;;;;;;;
claim_allemania_bav_title;Claim Allemania;;;;;;;;;;;;;
claim_allemania_bav_desc;Our brothers in Allemania-divided, weak, and in danger of Swabian expansion. We should take them under our wing for their interests, as well as ours.;;;;;;;;;;;;;
claim_allemania_wur_title;Claim Allemania;;;;;;;;;;;;;
claim_allemania_wur_desc;Our brothers in Allemania-divided, weak, and in danger of Bavarian expansion. We should take them under our wing for their interests, as well as ours.;;;;;;;;;;;;;
embrace_the_greeks_syc_title;The Griko Questions;;;;;;;;;;;;;
embrace_the_greeks_syc_desc;The Griko-the decendents of Magna Graecia, the sons and daughters of the Hellenic civilization. They unfortunately still suffer from discrimination and poverty within our nation, despite being as Syracusean as any other. That fact must change if we want to have a united, strong Syracuse.;;;;;;;;;;;;;
embrace_the_greeks_ven_title;The Southern People;;;;;;;;;;;;;
embrace_the_greeks_ven_desc;The Greek populace-traditionally protected, prospered, yet still discriminated under our rule. While our rule has been certainly better than that of the Turk, we still can do much more. For our interests as well as theirs, it is well over time for us to accept them to be Venetian as much as any other.;;;;;;;;;;;;;
claim_greece_italy_desc;The Greek populace has been under the Turkish Yoke for millenia. Saddled with Ottoman incompetance, their lands have been devastated and their economy has been lacking. We can do much better than that. Under our rule we can truly grant the Greeks well-deserved prosperity and growth.;;;;;;;;;;;;;
claim_greece_italy_title;Claim Greece;;;;;;;;;;;;;
embrace_the_misri_title;Embrace the Egyptian Arabs;;;;;;;;;;;;;
embrace_the_misri_desc;The Misri people make up a substantial population within our nation, yet are subject to discrimination and prejudice. We can do much better than that. For our interests as well as theirs, it is well over time for us to accept them to be our citizens, as much as any other.;;;;;;;;;;;;;
form_britannia_title;Unite Britannia;;;;;;;;;;;;;
form_britannia_desc;The isles of Britain already are smaller and underpopulated compared to the European mainland. Yet our petty squabbles dividing our islands make us even weaker. It is past time that we unite under a single flag-the flag of Britannia!;;;;;;;;;;;;;
form_allemannia_desc;Swiss, Badenese, and Lorrainian. Three brother cultures, coming from the same routes. We must not continue to be split, and we will be much more stronger if we are together. We must unite under a single flag-the flag of Allemania!;;;;;;;;;;;;;
form_allemannia_title;Unite the Allemans;;;;;;;;;;;;;
form_hispania_title;Form Hispania;;;;;;;;;;;;;
form_hispania_desc;Andalucian, Portuguese, Castillian, Galician, Catalan, Asturleonese, and Basque. All brother cultures, coming from the same routes. We must not continue to be split, and we will be much more stronger if we are together. We must unite under a single flag-the flag of Hispania!;;;;;;;;;;;;;
portugal_sevilla_title;Claim Sevilla;;;;;;;;;;;;;
portugal_sevilla_desc;Since their subjugation under Castillian rule, the historically Sevilla lands of Andalucia have become a backwater province in Spain. Poor, rural, and divided-it can do much better under our rule! We shall be the rulers of Andalucia!;;;;;;;;;;;;;
grenada_sevilla_title;Claim Sevilla;;;;;;;;;;;;;
grenada_sevilla_desc;Since their subjugation under Castillian rule, the historically Sevilla lands of Andalucia have become a backwater province in Spain. Poor, rural, and divided-it can do much better under our rule! We shall be the rulers of Andalucia!;;;;;;;;;;;;;
claim_cadiz_title;The City of Cadiz;;;;;;;;;;;;;
claim_cadiz_desc;We cannot continue the current status of us being boxed in by the Castillians. We must take the province of Cadiz, giving us a port in the Atlantic and greater avenues of expansion. Whatever the cost would be, we must seize Cadiz!;;;;;;;;;;;;;
lord_navarra_title;Lord of Navarra;;;;;;;;;;;;;
lord_navarra_desc;Since inheriting the Basque throne nominally after the death of Blanche the fifth, the Leonese have been traditionally the de jure rulers of the Basque. However, after the failure of multiple attempts of centralization, we have all but given up our rule of the province. With our rising might, we can take steps to integrate the province again-and finally remove that strategical blunder from the map.;;;;;;;;;;;;;
king_basques_title;King of the Basques;;;;;;;;;;;;;
king_basques_desc;If we seek to take lessons from history, one place to begin would be how to treat our Basque subjects. They are a proud people, and thinking that they would just accept our rule would be foolish. We shall take steps to show our coming benign rule and truly integrate the Basque as part of our nation.;;;;;;;;;;;;;
claim_south_portugal_title;The south of Portugal;;;;;;;;;;;;;
claim_south_portugal_desc;The first Andalucian Caliphate fell because of continuous Portuguese raids. If we seek to truly declare ourselves the heir of Andalucia, we must reduce the Portuguese crown into merely a shadow, and remove that threat once and for all.;;;;;;;;;;;;;
claim_algerian_coast_title;The Algerian Coast;;;;;;;;;;;;;
claim_algerian_coast_desc;Another reason the Andalucian Caliphate fell was invaders from the Maghreb, especially from Tamasna. Expanding into regions such as Fez and Taza would be great steps to ensure that never happens again.;;;;;;;;;;;;;
form_andalus_title;Reform Al-Andalus;;;;;;;;;;;;;
form_andalus_desc;We have shown the world that we are a rising power. We have achieved prosperity and military strength. It is past time that we use that earned prestie for good use, and declare ourselves the true succesors of Al-Andalus!;;;;;;;;;;;;;
master_of_the_maghreb_title;Master of the Maghreb;;;;;;;;;;;;;
master_of_the_maghreb_desc;Another reason the Andalucian Caliphate fell was invaders from the Maghreb, especially from Tamasna. Expanding into regions such as Fez and Taza would be great steps to ensure that never happens again.;;;;;;;;;;;;;
colonize_kannata_vel_title;Colonize Kannata;;;;;;;;;;;;;
colonize_kannata_vel_desc;With the growing population, our nation has the capacity to tame the wild plains and tundra of Kannata. Now, it is time to make those claims to be official.;;;;;;;;;;;;;
colonize_kannata_aki_title;Colonize Kannata;;;;;;;;;;;;;
colonize_kannata_aki_desc;With the growing population, our nation has the capacity to tame the wild plains and tundra of Kannata. Now, it is time to make those claims to be official.;;;;;;;;;;;;;
claim_new_england_title;Reclaim Nouvelle Slesvig;;;;;;;;;;;;;
claim_new_england_desc;Nouvelle Slesvig was one of the first colonies settled by Europeans in the New World. Historically and economically an important region, any nation whomst controls it can dominate the other in North Colombia.;;;;;;;;;;;;;
administrate_roads_title;Administrate Hai'l and Riyadh;;;;;;;;;;;;;
administrate_roads_desc;Ha'il and Riyadh are the only populated regions in the Arabian desert able to be called a city. Excellent sites for our growing administration, they must be taken if we want to tame Arabia.;;;;;;;;;;;;;
form_north_italian_union_title;Restore Lega Lomarda;;;;;;;;;;;;;
form_north_italian_union_desc;The lands of northern Italy are populated by one people, have a common market and an united economy, and protect each other. We are united in all but name. It is time to make that union formal and proclaim ourselves as a powerful state, able to stand up against other powers such as Naples, France and Bavaria.;;;;;;;;;;;;;
claim_italian_islands_title;No, el nostre mar;;;;;;;;;;;;;
claim_italian_islands_desc;Long ago the Seas of the Mediterranian have been ours. However, the Genoan pirates pilfered our rightful sea from us! Now that us Venetians have amassed enough power to challenge their domination, let us return to being an player in the Mediterranean Game;;;;;;;;;;;;;
administrate_sand_copt_title;Take the Sand;;;;;;;;;;;;;
administrate_sand_copt_desc;The Deserts of Fayyum and the Sahara el Beyda are strategical dangers to our state. With our control of those lands, we can never claim to fully protect our citizens from Maghrebi raids. We must establish outposts and garrisons to patrol that territory.;;;;;;;;;;;;;
great_river_push_title;Push to the Great River;;;;;;;;;;;;;
great_river_push_desc;Mordredland needs resources for its economy, and Roimchoil can provide. Taking and developing the copper, iron and gold mines on our border would bring a great boon to our economy.;;;;;;;;;;;;;
claim_normandy_title;Return to Normandy;;;;;;;;;;;;;
claim_normandy_desc;Since the conquest of William the great, Normandy and England has always had a close relationship. The cultural, economic, and commercial ties between us two regions cannot be ignored-and uniting our two regions would be a great step forward in expanding upon that relationship.;;;;;;;;;;;;;
claim_brittany_title;Claim Brittany;;;;;;;;;;;;;
claim_brittany_desc;Brittany is populated by another branch of the Celts-the Bretons. Under constant pressure from their French overlords for assimilation, they yearn for independence and their own cultural identity. And we can provide it. ;;;;;;;;;;;;;
claim_galica_title;Claim Galicia;;;;;;;;;;;;;
claim_galica_desc;Galicia is populated by another branch of the Celts-the Galego. Under constant pressure from their Spanish overlords for assimilation, they yearn for independence and their own cultural identity. And we can provide it. ;;;;;;;;;;;;;
request_letter_marque_title;Request Marque Letters;;;;;;;;;;;;;
request_letter_marque_desc;As the only pirate nation in the world we are not well regarded by many countries. But we can try to change that by putting ourselves at the service of the Acadiens. This way we would get protection, but they will gain more influence on our affairs. A price we are willing to pay, for our independence.;;;;;;;;;;;;;
incorparate_vassals_title;Incorparate Vassals;;;;;;;;;;;;;
incorparate_vassals_desc;As the waves of German nationalism get higher and higher, demands of us uniting with our subject states and proclaiming ourselves as a candidate for unification have grown. As we do stand for gain from that arrangement, we should use this opportunity.;;;;;;;;;;;;;
expell_christians_title;Expell Christians to Columbia;;;;;;;;;;;;;
expell_christians_desc;With the rising threat of Christians in our country have angered and worried our nobles. Some have suggested the Idea of expelling them to another continent-to South America. While this is certainly an extreme idea, this will solve all of our problems.;;;;;;;;;;;;;
Arizonan_colonization_title;Annexation of the four border tribes;;;;;;;;;;;;;
Arizonan_colonization_desc;Since our independence, we have used auxiliary forces from the four border tribes of the Hopi, the Navajo, the O'odham, and the Zuni to guard our borders. However, our population has grown and now we do not need the additional troops. We shall march west and seize their lands instead.;;;;;;;;;;;;;
form_byzantium_title;Restore Byzantium;;;;;;;;;;;;;
form_byzantium_desc;We have proven ourselves to be worthy succesors to Byzantium and we will use the territorial claims from that successor status to our advantage.;;;;;;;;;;;;;
TIB_claim_Burma_title;Our Claims on Burma;;;;;;;;;;;;;
TIB_claim_Burma_desc;We have beaten back the Chinese rebels, we have beaten back the Buyeo false Emperor. Now, we have proven ourselves as the rightful rulers of all Tibeto-Burmans, and we shall use our claim to strengthen our dominion;;;;;;;;;;;;;
mountain_lord_title;Lord of the Himalaya's;;;;;;;;;;;;;
mountain_lord_desc;With our People and Nation always being stationed in the Himalaya mountains, we shall expand to take all of them;;;;;;;;;;;;;
plain_lord_title;Lord of the plains;;;;;;;;;;;;;
plain_lord_desc;With our nomad ancestry we could go back to the plains where we come from;;;;;;;;;;;;;
steppe_lord_title;Lord of the steppe;;;;;;;;;;;;;
steppe_lord_desc;Our Nomad brothers stroll around in the desert and as we claimed the mountains and the plains, they are the only region we have right to push in;;;;;;;;;;;;;
opium_trade_title;Opium trade in the Yangtze;;;;;;;;;;;;;
opium_trade_desc;The revolt of the three Feudatories have resulted in a weakened Buyeo control of the Yangtze delta, a region close to the ports of Kaohsiung and Ke-lang. Thus, exploiting the lack of policing and further weakening the Buyeo, our merchants have started to conduct in the opium trade in the Yangtze delta. While this is highly immoral, nationalizing this trade will result in serious profits for our treasury. But is money worth angering the tiger?;;;;;;;;;;;;;
BUR_claim_tibet_title;Our Claims on Tibet;;;;;;;;;;;;;
BUR_claim_tibet_desc;We have beaten back the Chinese rebels, we have beaten back the Buyeo false Emperor. Now, we have proven ourselves as the rightful rulers of all Tibeto-Burmans, and we shall use our claim to strengthen our dominion;;;;;;;;;;;;;
floride_purchase_title;The Florida Purchase;;;;;;;;;;;;;
floride_purchase_desc;A land of Swamps and forests, Florida is a backwater province for the Acadiens-but the only mainland region we can even fathom to hold. We can pay to buy those lands-and finally solve a dispute between us two states.;;;;;;;;;;;;;
claim_cuba_title;Claim Karib;;;;;;;;;;;;;
claim_cuba_desc;A part of the Caribbean island chain, the island of Karib is of course part of our realm. It is time to end the rebel hold of the lands and finally unite the island chain.;;;;;;;;;;;;;
abolish_slavery_pirates_title;Abolish Slavery in $COUNTRY$;;;;;;;;;;;;;
abolish_slavery_pirates_desc;Abolitionism, or the abolitionist movement, was the movement to end slavery. As calls for Abolitionism increase in our nation, it's time for us to abolish the inhuman practice of slavery;;;;;;;;;;;;;
reestablish_kontors_title;Re-establish the Kontors;;;;;;;;;;;;;
reestablish_kontors_desc;With our resurgent power we should bring back the Hanseatic kontors and bring back their merchants;;;;;;;;;;;;;
reinstate_newworld_kontors_title;Reinstate New World Kontors;;;;;;;;;;;;;
reinstate_newworld_kontors_desc;Not so long ago,Cities like Nuevelle Paris and Sankt Johann have become so called 'New World Kontors' due to having Kontor-esque trading posts. Because both cities have become significant center of commerce, we could give them the title of Kontor;;;;;;;;;;;;;
integrate_kontors_desc;For a long time, Kontors have been extraterritorial lands which is not officially part of the Hanse.So while it rains and pours we should take whats ours and take some more!;;;;;;;;;;;;;
integrate_kontors_title;Integrate the Kontors;;;;;;;;;;;;;
proclaim_king_gauls_title;Proclaim yourself King of the Gauls;;;;;;;;;;;;;
proclaim_king_gauls_desc;Long have the Guals been struggeling under the Spaniards,Germans and the Dutch. They live in near Disapora except of course us.The Coranation is ready!;;;;;;;;;;;;;
unite_the_gauls_title;Unite the Gauls;;;;;;;;;;;;;
unite_the_gauls_desc;You, as king of the Gauls, should own all of the gallo-roman lands directly;;;;;;;;;;;;;
claim_freiland_title;Claim the continental Freiland;;;;;;;;;;;;;
claim_freiland_desc;The Alemana slaves in the Karib island, buffeted by their successful great revolt, have recently sailed to the lands north of our great river to punish their former masters. We should stabilize this wild north by subjugating it.;;;;;;;;;;;;;
return_german_aristo_title;Return of the German Aristocrats;;;;;;;;;;;;;
return_german_aristo_desc;Czechs are Germans, but for long that has been in question as wee have been part of the Holy Roman Empire of the German Nation. We left it for being german ,but now is the time to return!;;;;;;;;;;;;;
form_hre_title;Renovatio Imperii;;;;;;;;;;;;;
form_hre_desc;The Roman empire fell, the Byzantine empire fell only the Holy Roman empire is holding on ,barely.With us getting every german Nation under controll we can proclaim what should hav e been lost to time.Renovatio Imperii anyone?;;;;;;;;;;;;;
reclaim_silesia_title;Reclaim Silesia;;;;;;;;;;;;;
reclaim_silesia_desc;The Saxons took Silesia away from us not so long ago. It has been in Bohemian hands for over half a millenia before;;;;;;;;;;;;;
force_boehmen_title;Reintegrate Bohemia;;;;;;;;;;;;;
force_boehmen_desc;Bohemia has been part of the Holy Roman empire for so long, ist hard to remember it without it. So now with Bohemia in controll of Germans once again, we could integrate it into the second reich;;;;;;;;;;;;;
rename_new_rome_title;Rename New Rome;;;;;;;;;;;;;
rename_new_rome_desc;These ancient lands are truly roman;;;;;;;;;;;;;
rename_palz_saarland_title;Palzerâ¦;;;;;;;;;;;;;
rename_palz_saarland_desc;Es ist Zeit den Palzern zu zeigen wie wir ihre Stadt sehen;;;;;;;;;;;;;
rename_istanbul_german_title;German Constantinople;;;;;;;;;;;;;
rename_istanbul_german_desc;We have seized the city of the world's desire! We shall rename it as further proof of our control.;;;;;;;;;;;;;
german_renamed_savoy_aosta_title;German Savoie;;;;;;;;;;;;;
german_renamed_savoy_aosta_desc;We have seized the strategic Savoie region! We shall rename it as further proof of our control.;;;;;;;;;;;;;
lemanique_rename_german_title;Rename the Western Alps;;;;;;;;;;;;;
lemanique_rename_german_desc;We have seized the strategic region of the Western Alps! We shall rename it with German names as further proof of our control.;;;;;;;;;;;;;
lemanique_rename_french_title;Rename the Western Alps;;;;;;;;;;;;;
lemanique_rename_french_desc;We have seized the strategic region of the Western Alps! We shall rename it with French names as further proof of our control.;;;;;;;;;;;;;
minor_burgundy_rename_german_title;Rename Burgundy;;;;;;;;;;;;;
minor_burgundy_rename_german_desc;We have seized the prosperous region of Burgundy! We shall rename it with French names as further proof of our control.;;;;;;;;;;;;;
taungoo_restoration_title;Restore Greater Burma;;;;;;;;;;;;;
taungoo_restoration_desc;We are now strong enough to retake the lands that were once under the rule of the Burmese Empire.;;;;;;;;;;;;;
burma_takes_chiang_mai_title;Annex the Shan Saw Bwars;;;;;;;;;;;;;
burma_takes_chiang_mai_desc;Even though the Shan Saw Bwars are loyal to the Burmese we have to give the less autonomy if we want a more centralized government. We shall directly control the Shan States from now.;;;;;;;;;;;;;
partition_bohemia_title;Partition of Bohemia;;;;;;;;;;;;;
partition_bohemia_desc;Bavaria owns the Bohemian homeland and we should capitalize on this.;;;;;;;;;;;;;
burma_form_eob_title;From the Tibeto-Burman Union;;;;;;;;;;;;;
burma_form_eob_desc;We have united all the Tibeto-Burmans under our dynasty. We shall form the Tibeto-Burman Union;;;;;;;;;;;;;
tibet_form_eob_title;From the Tibeto-Burman Union;;;;;;;;;;;;;
tibet_form_eob_desc;We have united all the Tibeto-Burmans under our dynasty. We shall form the Tibeto-Burman Union;;;;;;;;;;;;;
reclaim_east_frisia_title;Reclaim Frisia;;;;;;;;;;;;;
consolidate_krain_desc;The Carnolian lands have been historically part of our domain, but the Cilli counts have pilfered it from us. We should take action to rectify that historical mistake.;;;;;;;;;;;;;
consolidate_krain_title;Consolidate Krain;;;;;;;;;;;;;
reclaim_east_frisia_desc;The East Frisian lands have been historically part of our domain, but the Dutch have pilfered it from us. We should take action to rectify that historical mistake.;;;;;;;;;;;;;
we_lost_venice_title;We lost Venice;;;;;;;;;;;;;
we_lost_venice_desc;We lost our beautiful capital of Venice so it doesn't make sense we call ouself the Venetian Republic.How about Republic of San Marco?;;;;;;;;;;;;;
we_lost_genoa_title;We lost Genoa;;;;;;;;;;;;;
we_lost_genoa_desc;We lost our capital of Genoa so it doesn't make sense we call ouself the Genoese Republic.How about Tirrenian Republic?;;;;;;;;;;;;;
