Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
claim_griko_lands_title;Claim Grikko Lands;;;;;;;;;;;;;
claim_griko_lands_desc;Lands in southern Italy have been colonized b Greeks lime we have been, we could clim those colonized lands;;;;;;;;;;;;;
claim_former_genoese_land_title;Genoese Lands;;;;;;;;;;;;;
claim_former_genoese_land_desc;With our win over Genoa, ist time to topple their empire!;;;;;;;;;;;;;
claim_tunis_title;Coast of Tunis;;;;;;;;;;;;;
claim_tunis_desc;With our proximity to Tunis , we can claim the land;;;;;;;;;;;;;
claim_border_title;The Hungarian Border;;;;;;;;;;;;;
claim_border_desc;There are germans at the border ,not any germans bavarians.Oppressed by Hungarians, Ist time to liberate them!;;;;;;;;;;;;;
claim_maghreb_coast_title;The Maghreb Coast;;;;;;;;;;;;;
claim_maghreb_coast_desc;After we took Tunis we can push for maghreb domination;;;;;;;;;;;;;
proclaim_allemania_title;Proclaim Allemania;;;;;;;;;;;;;
proclaim_allemania_desc;We speak a sertain dialect found not only in Switzerland , but also in Baden and Lorraine. We should unite our brothers;;;;;;;;;;;;;
claim_allemania_bav_title;Claim Allemania;;;;;;;;;;;;;
claim_allemania_bav_desc;After we took Swabia, ist now our time to unite more germans under our coat;;;;;;;;;;;;;
claim_allemania_wur_title;Claim Allemania;;;;;;;;;;;;;
claim_allemania_wur_desc;After we united Swabia, ist now our time to unite more germans under our coat;;;;;;;;;;;;;
embrace_the_greeks_syc_title;The Griko Questions;;;;;;;;;;;;;
embrace_the_greeks_syc_desc;Once, a long time ago ,Italy saw Greek colonization and migrants flood the south .Nowadays they are known as 'Griko' .We could accept them as equal and build a stronger relation to Greece and former greek landsâ€¦;;;;;;;;;;;;;
embrace_the_greeks_ven_title;The Southern People;;;;;;;;;;;;;
embrace_the_greeks_ven_desc;Venice has been a greek city, once, a long time ago.Now we have our own identity ,but those greeks are still ijn our empire.in the lands south of us.We have long traded with greeks and they form a great minority in our nation.Lets accept them as equal;;;;;;;;;;;;;
claim_greece_italy_desc;Greece was the most important thing the Romans conquered, It was the goal from the Ottomans too ,until they went after Arabia.We have a long presents in Greece and the Greeks.So Lets make it official.The Greeks belong to us;;;;;;;;;;;;;
claim_greece_italy_title;Claim Greece;;;;;;;;;;;;;
embrace_the_misri_title;Embrace the Egyptian Arabs;;;;;;;;;;;;;
embrace_the_misri_desc;We have long owned Egypt by this point.There are still a lot of Arabs her, they call themself 'Misri' they shall not pay for the crimes Egypt commited;;;;;;;;;;;;;
form_britannia_title;Unite Britannia;;;;;;;;;;;;;
form_britannia_desc;Britain has never been united.Now it is time to unite our brothers on the isles ;;;;;;;;;;;;;
form_allemannia_desc;For long our Brothers has been a disunited mess , although we gave germany ist romance name, Allemania.Its time to unite !;;;;;;;;;;;;;
form_allemannia_title;Unite the Allemans;;;;;;;;;;;;;
form_hispania_title;Form Hispania;;;;;;;;;;;;;
form_hispania_desc;It was once a clear fact that Iberia was united as the roman province of Hispania , our cultures are still similar .So lets unite! ;;;;;;;;;;;;;
portugal_sevilla_title;Claim Sevilla;;;;;;;;;;;;;
portugal_sevilla_desc;With Iberia in tourmoil, we could take on the duchy of sevilla;;;;;;;;;;;;;
grenada_sevilla_title;Claim Sevilla;;;;;;;;;;;;;
grenada_sevilla_desc;With Iberia in tourmoil, we could take on the culturally similar duchy of sevilla;;;;;;;;;;;;;
claim_cadiz_title;The City of Cadiz;;;;;;;;;;;;;
claim_cadiz_desc;The City of Cadiz has been a thorn in our eye for a long time now;;;;;;;;;;;;;
lord_navarra_title;Lord of Navarra;;;;;;;;;;;;;
lord_navarra_desc;With the basques at our border and in our own State , we should claim their throne;;;;;;;;;;;;;
king_basques_title;King of the Basques;;;;;;;;;;;;;
king_basques_desc;With our took over of navarra , we should integrate them into our natuion as equals;;;;;;;;;;;;;
claim_south_portugal_title;The south of Portugal;;;;;;;;;;;;;
claim_south_portugal_desc;With many Mozarabic lands  retaken its time to go after our final destination of spouthern Portugal, after that we can rightfully call our self Al Andalus once again;;;;;;;;;;;;;
claim_algerian_coast_title;The Algerian Coast;;;;;;;;;;;;;
claim_algerian_coast_desc;With our Ambitions in Iberia, we can also go after Maghreb aswell;;;;;;;;;;;;;
form_andalus_title;Reform Al-Andalus;;;;;;;;;;;;;
form_andalus_desc;So long we have been a rump state of Iberia.Its time to rise again;;;;;;;;;;;;;
master_of_the_maghreb_title;Master of the Maghreb;;;;;;;;;;;;;
master_of_the_maghreb_desc;With our united iberia and our growing power.We can Colonize in the name of the old reconqista;;;;;;;;;;;;;
colonize_kannata_vel_title;Colonize Kannata;;;;;;;;;;;;;
colonize_kannata_vel_desc;With growing ambitions in Africa it is growing in America too-Ist our time to strike a deal.Lets draw on a map;;;;;;;;;;;;;
colonize_kannata_aki_title;Colonize Kannata;;;;;;;;;;;;;
colonize_kannata_aki_desc;With growing ambitions in Africa it is growing in America too-Ist our time to strike a deal.Lets draw on a map;;;;;;;;;;;;;
claim_new_england_title;Retake Neu LÃ¼beck;;;;;;;;;;;;;
claim_new_england_desc;Since that darn treaty of Neu-Hannover we have been  deprived of our Lands up north;;;;;;;;;;;;;
administrate_roads_title;Administrate Hai'l and Riad;;;;;;;;;;;;;
administrate_roads_desc;with our controll of most that is administratable we can go further inwards and take the big  Citys of Hai'l and Riad;;;;;;;;;;;;;
form_north_italian_union_title;Restore Lega Lomarda;;;;;;;;;;;;;
form_north_italian_union_desc;Long us , the People of former Lombardia have seen similarities between eachoher, more than Naples or Sicily.We once had a semi confederation, the Lega Lombardia, so lets do that again ;;;;;;;;;;;;;
claim_italian_islands_title;No, el nostre mar;;;;;;;;;;;;;
claim_italian_islands_desc;Long ago the Seas of the mediteranian have been ours, they left us for those genoese scum.Now the Ventians are gaining power, so lets become another player in that Game;;;;;;;;;;;;;
administrate_sand_copt_title;Take the Sand;;;;;;;;;;;;;
administrate_sand_copt_desc;Ist time to go away from the nile and go after the desert;;;;;;;;;;;;;
great_river_push_title;Push to the great River;;;;;;;;;;;;;
great_river_push_desc;With our influence mostly vound to the coast , we could expand inwards to the good defendable river;;;;;;;;;;;;;
claim_normandy_title;Return to Normandy;;;;;;;;;;;;;
claim_normandy_desc;William the conqueror was Norman and so we owned Normandy for centuries;;;;;;;;;;;;;
claim_brittany_title;Claim Brittany;;;;;;;;;;;;;
claim_brittany_desc;With the invasion of Anglo Saxons the original Inhabitans fled to France where they still are today;;;;;;;;;;;;;
claim_galica_title;Claim Galicia;;;;;;;;;;;;;
claim_galica_desc;Celts fled to Galicia after the roman invasion of Hispania, we could go after all of our brothers into our realm;;;;;;;;;;;;;
request_letter_marque_title;Request Marque Letters;;;;;;;;;;;;;
request_letter_marque_desc;As the only pirate nation in the world we are not well seen by many countries but we can try to change that by putting ourserlves at the service of the Amauldi.This way we would get protection but they would have more influence on our affairs;;;;;;;;;;;;;
incorparate_vassals_title;Incorparate Vassals;;;;;;;;;;;;;
incorparate_vassals_desc;We have to incorparate all our vassals that are german in Nature;;;;;;;;;;;;;
expell_christians_title;Expell Christians to Columbia;;;;;;;;;;;;;
expell_christians_desc;With the rising threat of Christians in our country the Idea of expelling them to another continent has been becoming more and more prevelant.;;;;;;;;;;;;;
form_byzantium_title;Restore Byzantium;;;;;;;;;;;;;
form_byzantium_desc;For long the romans have been living without their ancient nation.Now is the time to change;;;;;;;;;;;;;
TIB_claim_Burma_title;Our Claims on Burma;;;;;;;;;;;;;
TIB_claim_Burma_desc;We have beaten back the Chinese rebels, we have beaten back the Korean false Emperor. Now, we have proven ourselves as the rightful rulers of all Tibeto-Burmans, and we shall use our claim to strengthen our dominion;;;;;;;;;;;;;
mountain_lord_title;Lord of the Himalaya's;;;;;;;;;;;;;
mountain_lord_desc;With our People and Nation always being stationed in the Himalaya mountains, we shall expand to take all of them;;;;;;;;;;;;;
plain_lord_title;Lord of the plains;;;;;;;;;;;;;
plain_lord_desc;With our nomad ancestry we could go back to the plains where we come from;;;;;;;;;;;;;
steppe_lord_title;Lord of the steppe;;;;;;;;;;;;;
steppe_lord_desc;Our Nomad brothers stroll around in the desert and as we claimed the mountains and the plains, they are the only region we have right to push in;;;;;;;;;;;;;
BUR_claim_tibet_title;Our Claims on Tibet;;;;;;;;;;;;;
BUR_claim_tibet_desc;We have beaten back the Chinese rebels, we have beaten back the Korean false Emperor. Now, we have proven ourselves as the rightful rulers of all Tibeto-Burmans, and we shall use our claim to strengthen our dominion;;;;;;;;;;;;;
floride_purchase_title;The Florida Purchase;;;;;;;;;;;;;
floride_purchase_desc;Now that we have friendly relations with the Amauldi we can make an offer to buy Florida;;;;;;;;;;;;;
claim_cuba_title;Claim Cuba;;;;;;;;;;;;;
claim_cuba_desc;The island of Cuba is part of the cairabbean and is rightfully ours;;;;;;;;;;;;;
abolish_slavery_pirates_title;Abolish Slavery in $COUNTRY$;;;;;;;;;;;;;
abolish_slavery_pirates_desc;It's time for us to abolish the inhuman practice of slavery;;;;;;;;;;;;;
reestablish_kontors_title;Re-Establish the Kontors;;;;;;;;;;;;;
reestablish_kontors_desc;With our resurgend power we should bring back the Hanseatic contors and bring back their merchants;;;;;;;;;;;;;
reinstate_newworld_kontors_title;Reinstate New World Kontors;;;;;;;;;;;;;
reinstate_newworld_kontors_desc;Not so long ago,Cities like Nuevelle Paris and Sankt Johann have become so called 'new world Kontors' having a more trading post like kontor.Now both have become real grown cities.WE could give them the title of Kontor;;;;;;;;;;;;;
integrate_kontors_desc;Long Kontors have been extraterritorial Lands not officially part of the Hanse.So while it rains and pours we should take whats ours and take some more!;;;;;;;;;;;;;
integrate_kontors_title;Integrate the Kontors;;;;;;;;;;;;;
proclaim_king_gauls_title;Proclaim yourself King ofthe Gauls;;;;;;;;;;;;;
proclaim_king_gauls_desc;Long have the Guals been struggeling under the Spaniards,Germans and the Dutch.They live in near Disapora except of course us.The Coranation is ready!;;;;;;;;;;;;;
unite_the_gauls_desc;You, as king of the Gauls, should own all of the gallo-roman lands directly;;;;;;;;;;;;;
unite_the_gauls_title;Unite the Gauls;;;;;;;;;;;;;
claim_freiland_title;Take on Freiland;;;;;;;;;;;;;
claim_freiland_desc;With the Slaves being free up north ,we should push out the germans from our half of the continent;;;;;;;;;;;;;
return_german_aristo_title;Return of the German Aristocrats;;;;;;;;;;;;;
return_german_aristo_desc;Czechs are Germans, but for long that has been in question as wee have been part of the Holy Roman Empire of the German Nation.We left it for being german ,but now is the time to return!;;;;;;;;;;;;;
form_hre_title;Renovatio Imperii;;;;;;;;;;;;;
form_hre_desc;The Roman empire fell, the Byzantine empire fell only the Holy Roman empire is holding on ,barely.With us getting every german Nation under controll we can proclaim what should hav e been lost to time.Renovatio Imperii anyone?;;;;;;;;;;;;;
reclaim_silesia_title;Reclaim Silesia;;;;;;;;;;;;;
reclaim_silesia_desc;The Saxons took Silesia away from us not so long ago.It has been in Bohemian hands for over half a millenia before;;;;;;;;;;;;;
force_boehmen_title;Reintegrate Bohemia;;;;;;;;;;;;;
force_boehmen_desc;Bohemia has been part of the Holy Roman empire for so long, ist hard to remember it without it.So now with Bohemia in controll of Germans once again, we could integrate it into the second reich;;;;;;;;;;;;;
